quarter,year,total-production,s-x-sales,3-y-sales,total-sales
Q1,2017,25418.00,25000.00,,25051.00
Q2,2017,25708.00,22000.00,,22026.00
Q3,2017,25336.00,25930.00,222.00,26137.00
Q4,2017,24565.00,28320.00,1542.00,29967.00
Q1,2018,34494.00,21800.00,8182.00,29997.00
Q2,2018,53339.00,22300.00,18440.00,40740.00
Q3,2018,80142.00,27660.00,56065.00,83725.00
Q4,2018,86555.00,27550.00,63359.00,90700.00
Q1,2019,77100.00,12100.00,50900.00,63000.00
Q2,2019,87048.00,17650.00,77550.00,95200.00
Q3,2019,96155.00,17483.00,79703.00,97186.00
Q4,2019,104891.00,19450.00,92550.00,112000.00
Q1,2020,102672.00,12200.00,76200.00,88400.00
Q2,2020,82272.00,10600.00,80050.00,90650.00
